dealer_pct_change,average_player_pct_change,rounds_played,players,half_pay_on
15.250000,-15.250000,50000,1,1
234.500000,-117.250000,50000,2,3
703.250000,-140.650000,40000,5,5
181.000000,-60.333333,40000,3,3
131.000000,-32.750000,40000,4,2
155.150000,-155.150000,60000,1,5
355.800000,-177.900000,50000,2,7
374.650000,-124.883333,50000,3,6
52.200000,-52.200000,50000,1,0
638.300000,-159.575000,40000,4,8
61.750000,-30.875000,50000,2,-1
682.700000,-227.566667,50000,3,9
73.250000,-73.250000,60000,1,2
493.450000,-98.690000,40000,5,4
666.400000,-133.280000,40000,5,7
498.100000,-249.050000,50000,2,9
693.300000,-115.550000,40000,6,7
830.800000,-166.160000,40000,5,8
262.050000,-37.435714,40000,7,2
637.750000,-159.437500,40000,4,9
936.250000,-156.041667,40000,6,9
111.550000,-37.183333,50000,3,1
265.900000,-265.900000,60000,1,9
941.100000,-156.850000,40000,6,8
371.050000,-185.525000,50000,2,8
107.450000,-21.490000,40000,5,-1
192.450000,-96.225000,50000,2,4
66.350000,-66.350000,50000,1,3
91.250000,-45.625000,50000,2,2
222.400000,-44.480000,40000,5,2
372.550000,-186.275000,50000,2,6
102.050000,-25.512500,40000,4,-1
643.350000,-128.670000,40000,5,6
745.300000,-106.471429,40000,7,4
42.100000,-21.050000,50000,2,1
351.700000,-117.233333,50000,3,4
180.000000,-25.714286,40000,7,1
667.650000,-95.378571,40000,7,5
1095.550000,-156.507143,40000,7,7
53.350000,-53.350000,60000,1,-1
218.900000,-218.900000,60000,1,7
551.250000,-91.875000,40000,6,4
487.650000,-121.912500,50000,4,5
1044.050000,-149.150000,40000,7,6
155.050000,-155.050000,60000,1,6
1272.300000,-181.757143,40000,7,9
366.900000,-122.300000,50000,3,5
302.450000,-50.408333,40000,6,-1
318.850000,-159.425000,60000,2,5
787.150000,-262.383333,60000,3,8
69.050000,-34.525000,50000,2,0
145.150000,-48.383333,50000,3,2
401.700000,-66.950000,40000,6,3
124.150000,-124.150000,60000,1,4
874.900000,-174.980000,40000,5,9
362.600000,-60.433333,40000,6,0
99.500000,-33.166667,50000,3,0
249.250000,-249.250000,60000,1,8
21.000000,-21.000000,60000,1,1
652.800000,-108.800000,40000,6,5
91.900000,-13.128571,40000,7,0
561.550000,-80.221429,40000,7,3
186.700000,-186.700000,70000,1,5
31.650000,-10.550000,50000,3,-1
437.700000,-72.950000,40000,6,2
330.500000,-47.214286,40000,7,-1
277.700000,-55.540000,40000,5,3
468.450000,-156.150000,50000,3,7
320.350000,-320.350000,70000,1,9
429.800000,-214.900000,60000,2,7
47.200000,-11.800000,50000,4,1
641.400000,-106.900000,40000,6,6
280.300000,-140.150000,60000,2,3
90.550000,-90.550000,70000,1,2
470.400000,-156.800000,60000,3,6
71.400000,-71.400000,60000,1,0
565.650000,-141.412500,50000,4,6
1068.850000,-152.692857,40000,7,8
124.850000,-24.970000,40000,5,1
60.100000,-30.050000,60000,2,-1
90.000000,-22.500000,50000,4,0
254.900000,-63.725000,50000,4,3
402.800000,-100.700000,50000,4,4
173.900000,-34.780000,50000,5,0
164.750000,-27.458333,40000,6,1
795.250000,-198.812500,50000,4,7
841.200000,-280.400000,60000,3,9
592.350000,-118.470000,50000,5,4
201.650000,-100.825000,60000,2,4
425.450000,-212.725000,60000,2,8
82.150000,-82.150000,60000,1,3
195.400000,-48.850000,50000,4,2
146.100000,-146.100000,70000,1,4
597.100000,-298.550000,60000,2,9
242.550000,-80.850000,50000,3,3
189.600000,-189.600000,70000,1,6
112.800000,-37.600000,60000,3,1
51.850000,-51.850000,70000,1,-1
784.200000,-196.050000,50000,4,8
420.050000,-210.025000,60000,2,6
267.650000,-267.650000,70000,1,7
797.300000,-199.325000,50000,4,9
454.050000,-151.350000,60000,3,5
816.650000,-163.330000,50000,5,5
352.250000,-176.125000,70000,2,5
284.000000,-56.800000,50000,5,2
45.550000,-22.775000,60000,2,1
6.750000,-6.750000,70000,1,1
824.000000,-164.800000,50000,5,6
370.850000,-61.808333,50000,6,-1
91.750000,-22.937500,50000,4,-1
602.500000,-150.625000,60000,4,5
816.800000,-163.360000,50000,5,7
890.550000,-148.425000,50000,6,7
405.150000,-135.050000,60000,3,4
1078.600000,-215.720000,50000,5,8
79.450000,-39.725000,60000,2,0
106.650000,-53.325000,60000,2,2
1164.300000,-194.050000,50000,6,8
149.900000,-29.980000,50000,5,-1
1200.800000,-200.133333,50000,6,9
282.350000,-40.335714,50000,7,2
149.050000,-49.683333,60000,3,2
1289.150000,-184.164286,50000,7,6
1581.300000,-225.900000,50000,7,9
290.400000,-290.400000,70000,1,8
386.050000,-386.050000,80000,1,9
848.700000,-121.242857,50000,7,4
211.900000,-211.900000,80000,1,5
538.500000,-179.500000,70000,3,6
419.150000,-69.858333,50000,6,3
109.450000,-109.450000,80000,1,2
191.800000,-27.400000,50000,7,1
44.150000,-14.716667,60000,3,-1
121.100000,-40.366667,60000,3,0
1366.200000,-195.171429,50000,7,7
865.250000,-123.607143,50000,7,5
261.150000,-130.575000,70000,2,4
962.100000,-320.700000,70000,3,8
540.350000,-270.175000,70000,2,7
1101.200000,-220.240000,50000,5,9
670.150000,-111.691667,50000,6,4
388.900000,-64.816667,50000,6,0
580.100000,-193.366667,60000,3,7
223.150000,-223.150000,80000,1,6
304.500000,-152.250000,70000,2,3
337.200000,-67.440000,50000,5,3
181.950000,-25.992857,50000,7,0
813.000000,-135.500000,50000,6,5
807.250000,-134.541667,50000,6,6
499.550000,-83.258333,50000,6,2
62.750000,-62.750000,70000,1,0
69.700000,-34.850000,70000,2,-1
681.450000,-340.725000,70000,2,9
935.750000,-233.937500,60000,4,7
105.550000,-105.550000,70000,1,3
482.000000,-241.000000,70000,2,8
373.750000,-53.392857,50000,7,-1
86.650000,-21.662500,60000,4,1
760.250000,-190.062500,60000,4,6
404.500000,-202.250000,80000,2,5
302.350000,-302.350000,80000,1,7
168.100000,-42.025000,60000,4,0
996.600000,-332.200000,70000,3,9
1296.750000,-185.250000,50000,7,8
607.400000,-86.771429,50000,7,3
40.550000,-40.550000,80000,1,-1
208.550000,-34.758333,50000,6,1
164.150000,-164.150000,80000,1,4
437.800000,-109.450000,60000,4,4
59.600000,-29.800000,70000,2,1
905.900000,-226.475000,60000,4,8
235.550000,-58.887500,60000,4,2
